Name,Deadline,Level,Category,Age_Group,Description,Link,vacuus
OppU Achievers,31-Dec,n1,s,"H,U,G,P",How have you created opportunity for yourself? How have you created opportunity for others? How did you overcome the odds and make your dreams—or the dreams of others—come true? Answer in a 500 word essay. Please include links to any relevant material that demonstrates your accomplishments.,https://www.opploans.com/oppu/scholarship/,vacuus
Free Speech Essay Contest,31-Dec,n1,w,H,"As you can probably guess from the title, this essay contest is all about free speech. This scholarship is only for high school juniors and seniors. Generally speaking, you write a 900 word essay to a prompt the FIRE network provides.",https://www.thefire.org/resources/high-school-network/essay-contest/,vacuus
Comedy Defensive Driving,31-Dec,"n1,i1",,"U,G,P","Design an advertisement that educations the public about the dangers of distracted driving, and convince them with a clear call to action. You will be judged based on the quality of the content, it’s usability as an ad and how it effectively convinces drivers. Committee is looking for creative ads with humor and/or irony.",https://comedydefensivedriving.com/scholarships/,vacuus
Unigo 10K,30-Dec,n1,,"H,U,G,P",Imagine a historical figure is brought back to life. Who is it? What's their favorite mobile app? Answer in a 250 word essay.,https://www.unigo.com/scholarships/our-scholarships/unigo-10k-scholarship,vacuus
Alumni Presidential,15-Dec,n1,"a,c",H,This scholarship is only for people applying to Virginia Tech as incoming freshmen. You must reflect on the mission of Virginia Tech's Honors College and your expectations and ambitions as a VT student. Explain in 200 words or less how you see VT Honors contributing to your success at the university and beyond.,(see Virginia Tech's application portal),vacuus
McNamara,15-Dec,n1,"a,c",H,This scholarship is only for people applying to Virginia Tech as incoming freshmen. You must reflect on the mission of Virginia Tech's Honors College and your expectations and ambitions as a VT student. Explain in 200 words or less how you see VT Honors contributing to your success at the university and beyond.,(see Virginia Tech's application portal),vacuus
Stamps,15-Dec,n1,"a,c",H,"Many colleges offer the Stamp Scholarship, but this description is just for Virginia Tech's. You will have to write a 500-word essay on the following question: based on the scholarship criteria and the values of the Stamps Foundation, what makes you a good fit to be a Stamps Scholar?",varies,vacuus
Science Ambassador,14-Dec,n1,"v,e","H,U","This is a full–ride scholarship for a woman in science, technology, engineering, or math. You create a 3-minute mini-lecture about a scientific topic that you are really interested in.",https://www.scienceambassadorscholarship.org/#apply,vacuus
Distinguished Young Women,5-Dec,n1,a,H,"This scholarship is only for high school senior girls. There are several categories: talent, interview, academics, fitness, and self-expression (public-speaking). You will need to fill out a few forms for this.",https://distinguishedyw.org/scholarships/,vacuus
Martin Luther King Jr. Essay Contest,4-Dec,c1,w,H,"This contest is open to high school seniors at Charlottesville, Albemarle, Monticello, Murray, and Western Albemarle High Schools. You write a 500 word essay about a quote from Martin Luther King Jr.",(see English teacher),vacuus
Education Matters,30-Nov,n1,,"H,U,G,P","In 250 words or fewer, state why education matters. Why does education matter to you? What is the value you hope to achieve from college? What would you do to convince the college cynics?",https://www.unigo.com/scholarships/our-scholarships/education-matters-scholarship,vacuus
Student Video Contest,30-Nov,n1,v,"M,H,U,G",Create a 2 1/2 minute video explaining the importance of transportation infrastructure investment to the U.S. economy and quality of life. The purpose of this scholarship is to help applicants learn more about the industry and potential transportation and construction career opportunities.,https://www.artba.org/foundation/student-video-contest/,vacuus
Maryknoll Essay Contest,16-Nov,n1,w,"M,H","For this writing contest, you create a 500-750 word essay to a prompt provided by the Maryknoll Magazine.",https://maryknollsociety.org/essay/,vacuus
Elks,15-Nov,n1,s,H,"This scholarship is for high school seniors. You create a resume on your leadership and extracurriculars. In a 500-word essay, you write about one of the activities you listed. You describe what impact the experience had on you, what you contributed, what you learned about yourself, and how it has influenced your plans for the future. The judging process has various levels, ranging from local to national.",https://www.elks.org/scholars/scholarships/mvs.cfm,vacuus
Brian Christopher Heath Memorial,11-Nov,s2,,H,"This scholarship is only for Virginian high school seniors at Albemarle High School. Applications must be sent to your guidance counselor. You must describe your career goals, a person you look up to, how the scholarship would help you, and how you have positively impacted your community.",(see Naviance),vacuus
Prudential Spiriti of Community,10-Nov,s1,s,"M,H","This service scholarship requires applicants to summarize a volunteer activity, describe its inspiration, explain the effort behind it, state its impact, and show the applicant's personal growth. You will have to be certified by your school principal or the head of a county 4-H organization, Girl Scout council, American Red Cross chapter, YMCA or a Points of Light Global Network member ",https://spirit.prudential.com/,vacuus
Coca Cola,31-Oct,n1,s,H,Only high school seniors can apply to the Coca Cola Scholarship. The application is like the Activities Section of the Common App. No essay is required whatsoever. You must fill out forms about your volunteer experiences in your community and at school.,https://www.coca-colascholarsfoundation.org/apply/,vacuus
Voices of Democracy,31-Oct,n1,w,"M,H","Every year, students around the world answer a prompt provided by the Veterans of Foreign Wars (VFW). Responses must be recorded as a 3–5-minute audio essay. They must be sent as an audio CD or flash drive to your local VFW post.",https://www.vfw.org/community/youth-and-education/youth-scholarships,vacuus
Zombie Apocalypse,31-Oct,n1,w,"H,U,G,P","Answer the following prompt in 250 words or less. Imagine that your high school or college has been overrun with zombies. Your math professor, the cafeteria ladies, and even your best friend have all joined the walking dead. Flesh out a plan to avoid the zombies, including where you’d hide and the top-five things you’d bring to stay alive.",https://www.unigo.com/scholarships/our-scholarships/zombie-apocalypse-scholarship,vacuus
Jefferson,23-Oct,n1,"a,s,c",H,"The Jefferson Scholarship is a full-ride to the University of Virginia. It is only open to high school seniors. There are multiple levels, involving essays, interviews, and exams. An emphasis is placed on the award's three pillars: scholarship, leadership, and citizenship.",(see school for details),vacuus
Shout it Out,30-Sep,n1,,"H,U,G,P","In 250 words, write one thing you would say to the entire world and why.",https://www.unigo.com/scholarships/our-scholarships/make-me-laugh-scholarship,vacuus
